BELGIUM NAME01      VS112921-3452-6543-3401 0897BE
BELGIUM NAME02      VS122921-3452-6543-3402 0897BE
BELGIUM NAME03      VS132921-3452-6543-3403 0897BE
TURKEY NAME01       VS113921-3452-6543-3401 0897TR
IRISH NAME01        VS114921-3452-6543-3401 0897IE
IRISH NAME03        VS134921-3452-6543-3403 0897IE
IRISH NAME04        VS134921-3452-6543-3404 0897IE
GERMANY NAME01      VS114921-3452-6543-3421 0897DE
GERMANY NAME03      VS134921-3452-6543-3443 0897DE
GERMANY NAME04      VS134921-3452-6543-3454 0897DE
ROMANIAN NAME01     VS114921-3452-6543-3882 0897RO
ROMANIAN NAME03     VS134921-3452-6543-3884 0897RO
ROMANIAN NAME04     VS134921-3452-6543-3885 0897RO
IRISH NAME02        VS124921-3452-6543-4402 0897IE
GERMANY NAME02      VS124921-3452-6543-4432 0897DE
ROMANIAN NAME02     VS124921-3452-6543-4883 0897RO
USA NAME01          VS114921-53452-6543-34010897US
USA NAME02          VS124921-53452-6543-34020897US
USA NAME03          VS134921-53452-6543-34030897US
USA NAME04          VS134921-53452-6543-34040897US
BELGIUM NAME05      AC212921-3452-6543-3405 0897BE
BELGIUM NAME06      AC222921-3452-6543-3406 0897BE
BELGIUM NAME07      AC232921-3452-6543-3407 0897BE
TURKEY NAME02       AC223921-3452-6543-3402 0897TR
TAIWAN NAME05       AC214921-3452-1543-6405 0897TW
TAIWAN NAME06       AC224921-3452-2543-3406 0897TW
TAIWAN NAME07       AC234921-3452-3543-3407 0897TW
TAIWAN NAME08       AC234921-3452-4543-8408 0897TW
IRISH NAME06        AC224921-3452-6543-3406 0897IE
IRISH NAME07        AC234921-3452-6543-3407 0897IE
GERMANY NAME06      AC224921-3452-6543-3476 0897DE
GERMANY NAME07      AC234921-3452-6543-3487 0897DE
IRISH NAME05        AC214921-3452-6543-6405 0897IE
GERMANY NAME05      AC214921-3452-6543-6465 0897DE
SWEDISH NAME08      AC234921-3452-6543-8108 0897SE
IRISH NAME08        AC234921-3452-6543-8408 0897IE
USA NAME05          AC214921-53452-6543-34050897US
USA NAME06          AC224921-53452-6543-34060897US
USA NAME07          AC234921-53452-6543-34070897US
USA NAME08          AC234921-53452-6543-34080897US
TURKEY NAME03       AM333921-3452-6543-3403 0897TR
TAIWAN NAME09       AM314921-3452-5543-3409 0897TW
IRISH NAME09        AM314921-3452-6543-3409 0897IE
IRISH NAME11        AM334921-3452-6543-3411 0897IE
SOUTH AFRICA NAME10 AM324921-3452-6543-5910 0897ZA
IRISH NAME12        AM314921-3452-6543-7512 0897IE
IRISH NAME10        AM324921-3452-6543-9410 0897IE
TAIWAN NAME10       AM324921-3452-7543-9410 0897TW
TAIWAN NAME11       AM334921-3452-8543-3411 0897TW
SWEDISH NAME09      AM314921-3453-6543-3209 0897SE
SWEDISH NAME10      AM324921-3454-6543-9310 0897SE
SWEDISH NAME11      AM334921-3455-6543-3411 0897SE
SWEDISH NAME12      AM314921-3456-6543-7512 0897SE
USA NAME09          AM314921-53452-6543-34090897US
USA NAME10          AM324921-53452-6543-34100897US
USA NAME11          AM334921-53452-6543-34110897US
USA NAME12          AM314921-53452-6543-34120897US
SOUTH AFRICA NAME02 AM316921-3452-6543-2912 0897ZA
SOUTH AFRICA NAME01 AM336921-3452-6543-3911 0897ZA
BELGIUM NAME04      CH432921-3452-6543-3404 0897BE
TURKEY NAME04       CH433921-3452-6543-3404 0897TR
IRISH NAME14        CH424921-3452-6543-2114 0897IE
IRISH NAME13        CH414921-3452-6543-3413 0897IE
IRISH NAME15        CH434921-3452-6543-3415 0897IE
IRISH NAME16        CH424921-3452-6543-6616 0897IE
USA NAME13          CH414921-53452-6543-34130897US
USA NAME14          CH424921-53452-6543-34140897US
USA NAME15          CH434921-53452-6543-34150897US
USA NAME16          CH424921-53452-6543-34160897US
SOUTH AFRICA NAME03 CH416921-3452-6543-6913 0897ZA
SOUTH AFRICA NAME04 CH426921-3452-6543-7914 0897ZA
SOUTH AFRICA NAME05 CH436921-3452-6543-8915 0897ZA
SOUTH AFRICA NAME06 CH426921-3452-6543-9916 0897ZA
