Michael Terence Ryan,34 Winchester Drive Dublin 3 Co. Dublin,0123
MARY TYLER MOORE,THIS IS AN INVALID ADDRESS,1432
Fred James Hoyle,17 Starry Lane Cork Co. Cork,0012
William James Anderson,Here and there or there abouts co. kerry,4322
John Joseph Tom Barry,Having flat tyres makes your Carlow,5432
Mary Mary Quite Contrary,13 Floppy Disk Drive Dublin 5 Co. Dublin,2345
Tom Horner,The corner Co. Mayo,1111
Mary Joan Muffet,The Tuffet Co. Limerick,1222
ARTHUR CALVIN CLARKE,SOMEWHERE IN OUTER SPACE,1333
Whathe Flaming Dickens,The Old Curiosity shop Galway Co. Galway,1444
Coming Toowa Boyle,12 Magnetic Tape Drive Dublin 7 Co. Dublin,1555
Mary Joe Austin,13 Antrim Drive Godnosware Co Antrim,1666
Michelle Moira Fitzpatrick,Somewhere in Armagh,1777
Gerard Tom Reid,Somewhere in Carlow,1888
John Lean Sprat,Etomall House Co. Tyrone,3222
Mary Fat Sprat,Etomall House Co. Tyrone,3333
Maeve Patricia Ryan,Somewhere in Cavan,1999
Sarah Ward Perkins,Keepthat Dogona Laois,3666
Vivian Margaret Sheridan,Somewhere in Clare,2000
Richard Jeremy Bolitho,Staying up late burns your wicklow,2999
Maura Moira Mary Maria Hicks,Somewhere in Cork,2111
Jim James Jack Maurice,Somewhere in Donegal,2222
Simple Simon Legree,Somewhere in Down,2333
Rebecca Ann Downs,Wheron Erthdid Sligo,3777
Jenifer June Eccles,Knot Kneaded Thanks Offaly,3444
Robert Tim Burns,34 Hard Disk Park Dublin 3 Co. Dublin,3111
Dolores Fishnet,Somewhere in fermanagh,2444
Niall Tim Pat Cooganm,Somewhere in Galway,2555
Rachel Octavia Austin,Whatgoesup Mustcome Down,3555
Pat Pat Fitzgerald,Somewhere in Derry,2666
Comac Leonard DaVinci,Somewhere in Kildare,2777
PAT PUCINI,SOMEWHERE IN KINKENNY,2888
