Austin Mary Joe                    13 Antrim Drive Godnosware Co Antrim                        011666
Fitzpatrick Michelle Moira         Somewhere in Armagh                                         021777
Barry John Joseph Tom              Having flat tyres makes your Carlow                         035432
Reid Gerard Tom                    Somewhere in Carlow                                         031888
Ryan Maeve Patricia                Somewhere in Cavan                                          041999
Sheridan Vivian Margaret           Somewhere in Clare                                          052000
Hicks Maura Moira Mary Maria       Somewhere in Cork                                           062111
Hoyle Fred James                   17 Starry Lane Cork Co. Cork                                060012
Fitzgerald Pat Pat                 Somewhere in Derry                                          072666
Maurice Jim James Jack             Somewhere in Donegal                                        082222
Austin Rachel Octavia              Whatgoesup Mustcome Down                                    093555
Legree Simple Simon                Somewhere in Down                                           092333
Boyle Coming Toowa                 12 Magnetic Tape Drive Dublin 7 Co. Dublin                  101555
Burns Robert Tim                   34 Hard Disk Park Dublin 3 Co. Dublin                       103111
Contrary Mary Mary Quite           13 Floppy Disk Drive Dublin 5 Co. Dublin                    102345
Ryan Michael Terence               34 Winchester Drive Dublin 3 Co. Dublin                     100123
Fishnet Dolores                    Somewhere in fermanagh                                      112444
Cooganm Niall Tim Pat              Somewhere in Galway                                         122555
Dickens Whathe Flaming             The Old Curiosity shop Galway Co. Galway                    121444
Anderson William James             Here and there or there abouts co. kerry                    134322
DaVinci Comac Leonard              Somewhere in Kildare                                        142777
Perkins Sarah Ward                 Keepthat Dogona Laois                                       163666
Muffet Mary Joan                   The Tuffet Co. Limerick                                     181222
Horner Tom                         The corner Co. Mayo                                         211111
Eccles Jenifer June                Knot Kneaded Thanks Offaly                                  243444
Downs Rebecca Ann                  Wheron Erthdid Sligo                                        263777
Sprat John Lean                    Etomall House Co. Tyrone                                    283222
Sprat Mary Fat                     Etomall House Co. Tyrone                                    283333
Bolitho Richard Jeremy             Staying up late burns your wicklow                          322999
